Operation,Workers,Clients,Throughput,Latency(ms)
read,8,2,1336.074999999875,2.98689583333325
read,8,4,2565.725,3.11233333333275
read,8,8,4991.495833333375,3.20206249999975
read,8,14,7466.075000000125,3.75299999999925
read,8,20,7594.1374999995,5.26941666666675
read,8,26,7638.733333333375,6.815270833332875
read,8,32,7611.841666666625,8.418270833332874
read,16,2,1337.191666666625,2.984124999999875
read,16,4,2570.329166666625,3.10685416666675
read,16,8,4855.84583333325,3.295291666666125
read,16,14,8126.61249999975,3.446687500000125
read,16,20,10702.404166664124,4.075104166667
read,16,26,12221.00416667,4.268750000000375
read,16,32,12368.16249999625,5.1782916666670005
read,32,2,1321.737499999625,3.019999999999875
read,32,4,2542.770833332875,3.14154166666675
read,32,8,4927.0375,3.2442916666665
read,32,14,8323.383333332875,3.3635
read,32,20,10753.6750000025,3.725291666666875
read,32,26,12292.870833327499,4.250145833333125
read,32,32,12308.67916666375,5.21685416666675
read,64,2,1319.4,3.023770833332875
read,64,4,2576.354166666625,3.10062500000025
read,64,8,4937.808333333625,3.2361041666665
read,64,14,8373.595833333,3.342395833332875
read,64,20,11526.09166667,3.46897916666675
read,64,26,12353.7708333425,4.210874999999875
read,64,32,12362.7041666625,5.175812499999875
write,8,2,1323.2958333335,3.0187916666665
write,8,4,2559.82916666675,3.1220416666665
write,8,8,4997.475000000125,3.2016874999995
write,8,14,7604.98750000025,3.683916666666875
write,8,20,7575.14583333325,5.284812500000375
write,8,26,7701.85416666725,6.76100000000025
write,8,32,7653.12916666625,8.381437500000626
write,16,2,1311.179166666875,3.04735416666675
write,16,4,2555.720833333125,3.128749999999875
write,16,8,5041.054166667125,3.1727708333335
write,16,14,8409.120833333374,3.3313125
write,16,20,10923.03333333375,3.6771874999995
write,16,26,12946.279166671251,4.0453750000005
write,16,32,14832.82083333125,4.322874999999875
write,32,2,1343.8083333336251,2.975604166667125
write,32,4,2550.65416666625,3.134958333333375
write,32,8,4950.525,3.23216666666625
write,32,14,8334.441666667126,3.365562500000125
write,32,20,10988.9708333275,3.657249999999875
write,32,26,12800.91666666875,4.0909166666665
write,32,32,14252.67916666875,4.77016666666725
write,64,2,1297.40416666675,3.079416666666375
write,64,4,2519.779166666625,3.1734999999995
write,64,8,4950.541666666875,3.2331666666665
write,64,14,8368.1875000005,3.346395833333125
write,64,20,11505.3916666675,3.482687499999375
write,64,26,13413.02916666875,3.89568750000025
write,64,32,14732.19583333625,4.396416666667375
