Operation,Clients,Throughput,Latency(ms)
read,1,4215.659176030113,0.47172284644194384
read,2,6420.310861422809,0.6295318352060337
read,4,9064.895131086067,0.8894382022472135
read,8,11618.059925092135,1.3757865168538201
read,16,16002.906367039326,2.00142322097382
read,24,18948.7640449382,2.5489138576777526
read,32,20797.232209742695,3.104213483145618
write,1,4284.91760299618,0.4719662921348427
write,2,6522.161048689888,0.6255056179775281
write,4,9372.928838950562,0.8659550561797528
write,8,12799.29588014719,1.2528838951311236
write,16,16370.614232211236,1.985973782771573
write,24,19613.16853932809,2.4617602996255057
write,32,21563.54307116292,2.9893820224714607
