Operation,Clients,Throughput,Latency
read,1,4201.56250000025,0.4732708333333125
read,2,6389.92499999975,0.6325000000000375
read,4,9013.06249999975,0.894416666666675
read,8,11637.2041666625,1.3731666666665
read,16,16002.64583333,2.00166666666675
read,24,18973.58333334,2.545833333333375
read,32,20786.32500000625,3.107291666666125
write,1,4265.324999999875,0.4730833333333375
write,2,6548.6041666673755,0.6223125000000125
write,4,9313.98333333275,0.8719583333333125
write,8,12770.1749999975,1.2556875
write,16,16397.38750000125,1.959083333333375
write,24,19630.3416666675,2.4587708333335
write,32,21569.495833335,2.988124999999625
