Operation,Clients,Average Throughtput,Std Throughput,Average Response Time,Std Response Time
read,1,4201.5625,460.3840086362142,0.47327083333333336,0.06444503397713856
read,2,6389.925,833.6823859907903,0.6325000000000001,0.10588132956237192
read,4,9013.0625,1034.4451023218069,0.8944166666666667,0.12209237635761118
read,8,11637.204166666666,655.6507929726483,1.3731666666666666,0.09858060155770744
read,16,16002.645833333334,841.4746641716655,2.0016666666666665,0.14340525133324541
read,24,18973.583333333332,1360.177930049852,2.5458333333333334,0.25562999531047925
read,32,20786.325,1591.7669830231678,3.107291666666667,0.382791306149999
write,1,4265.325,492.20854277591525,0.4730833333333333,0.09189988047119184
write,2,6548.604166666667,978.1441898051186,0.6223124999999999,0.10834427772456476
write,4,9313.983333333334,1191.2264765985988,0.8719583333333333,0.1329837383646972
write,8,12770.175,836.5314887019844,1.2556875,0.10733022351096827
write,16,16397.3875,1061.8781674565687,1.9590833333333333,0.16569456939522878
write,24,19630.341666666667,1242.3224673573993,2.4587708333333333,0.22795072715793252
write,32,21569.495833333334,1344.681766953011,2.9881249999999997,0.2998479520744752
